"book","lesson","audio_1","text_4","text_2","text_3","text_1"
"1","1","1001歡迎你來臺灣！.mp3","歡迎你來臺灣！","Welcome to Taiwan!","huānyíng nǐ lái táiwān","歡迎你來臺灣！"
"1","1","1002明華：請問你是陳月美小姐嗎？.mp3","請問你是陳月美小姐嗎？","Excuse me, are you Miss Chen Yuemei?","Qǐngwèn nǐ shì Chén Yuèměi xiǎojiě ma?","請問你是陳月美小姐嗎？"
"1","1","1003月美：是的。謝謝你來接我們。.mp3","是的。謝謝你來接我們。","Yes. Thank you for coming to pick us up.","Shìde. Xièxie nǐ lái jiē wǒmen.","是的。謝謝你來接我們。"
"1","1","1004明華：不客氣。我是李明華。.mp3","不客氣。我是李明華。","You're welcome. My name is Minghua Li.","Búkèqì. Wǒ shì Lǐ Mínghuá.","不客氣。我是李明華。"
"1","1","1005月美：這是王先生。.mp3","這是王先生。","This is Mr. Wang.","Zhè shì Wáng Xiānshēng.","這是王先生。"
"1","1","1006開文：你好。我姓王，叫開文。.mp3","你好。我姓王，叫開文。","Hi, My surname is Wang. My first name is Kaiwen.","Nǐ hǎo. Wǒ Xìng Wáng, jiào Kāiwén.","你好。我姓王，叫開文。"
"1","1","1007明華：你們好。歡迎你們來臺灣。.mp3","你們好。歡迎你們來臺灣。","how are you. Welcome to Taiwan.","Nǐmen hǎo. Huānyíng nǐmen lái Táiwān.","你們好。歡迎你們來臺灣。"
"1","1","1008明華：請喝茶。.mp3","請喝茶。","Please have some tea.","Qǐng hē chá.","請喝茶。"
"1","1","1009開文：謝謝。很好喝。請問這是什麼茶？.mp3","謝謝。很好喝。請問這是什麼茶？","Thank you. This tastes good. May I ask what kind of tea this is?","Xièxie. Hěn hǎohē. Qǐngwèn zhè shì shénme chá?","謝謝。很好喝。請問這是什麼茶？"
"1","1","1010明華：這是烏龍茶。臺灣人喜歡喝茶。開文，你們日本人呢？.mp3","這是烏龍茶。臺灣人喜歡喝茶。開文，你們日本人呢？","This is Oolong Tea. Taiwanese like to drink tea. Kaiwen, how about you Japanese people?","Zhè shì Wūlóng chá. Táiwān rén xǐhuān hē chá. Kāiwén, nǐmen Rìběn rén ne?","這是烏龍茶。臺灣人喜歡喝茶。開文，你們日本人呢？"
"1","1","1011月美：他不是日本人。.mp3","他不是日本人。","He is not Japanese.","Tā bú shì Rìběn rén.","他不是日本人。"
"1","1","1012明華：對不起，你是哪國人？.mp3","對不起，你是哪國人？","I am sorry. Where are you from?","Duìbùqǐ, nǐ shì nǎ guó rén?","對不起，你是哪國人？"
"1","1","1013開文：我是美國人。.mp3","我是美國人。","I am American.","Wǒ shì Měiguó rén.","我是美國人。"
"1","1","1014明華：開文，你要不要喝咖啡？.mp3","開文，你要不要喝咖啡？","Kaiwen, would you like to drink coffee?","Kāiwén, nǐ yào bú yào hē kāfēi?","開文，你要不要喝咖啡？"
"1","1","1015開文：謝謝！我不喝咖啡，我喜歡喝茶。.mp3","謝謝！我不喝咖啡，我喜歡喝茶。","Thank you. I don't drink coffee. I like to drink tea.","Xièxie! Wǒ bù hē kāfēi, wǒ xǐhuān hē chá.","謝謝！我不喝咖啡，我喜歡喝茶。"
"1","2","1016我的家人.mp3","我的家人","My Family","wǒde jiārén","我的家人"
"1","2","1017怡君：這是我家。請進！.mp3","這是我家。請進！","This is mine house. Please come in!","Zhè shì wǒ jiā. Qǐng jìn!","這是我家。請進！"
"1","2","1018安同：很漂亮的房子！.mp3","很漂亮的房子！","This is a pretty house.","Hěn piàoliàng de fángzi!","很漂亮的房子！"
"1","2","1019怡君：請坐！要不要喝茶？.mp3","請坐！要不要喝茶？","Please have a seat. Would you like some tea?","Qǐng zuò! Yào bú yào hē chá?","請坐！要不要喝茶？"
"1","2","1020安同：好，謝謝你。你家有很多照片。.mp3","好，謝謝你。你家有很多照片。","Yes, thank you. You have a lot of pictures in your house.","Hǎo, xièxie nǐ. Nǐ jiā yǒu hěn duō zhàopiàn.","好，謝謝你。你家有很多照片。"
"1","2","1021怡君：我家人都很喜歡照相。.mp3","我家人都很喜歡照相。","The people in my family like to take pictures.","Wǒ jiārén dōu hěn xǐhuān zhàoxiàng.","我家人都很喜歡照相。"
"1","2","1022安同：這張照片很好看。這是誰？你姐姐嗎？.mp3","這張照片很好看。這是誰？你姐姐嗎？","This is a nice picture. Who is this? Your older sister?","Zhè zhāng zhàopiàn hěn hǎokàn. Zhè shì shéi? Nǐ jiějie ma?","這張照片很好看。這是誰？你姐姐嗎？"
